titre,date,genre,durée,réalisateur,distributeur,acteurs,titre_original,nationalités,langue_d_origine,type_film,annee_production,budget,box_office_total,note_presse,note_spectateurs,nombre_article,recompenses,description
Animalia,09/08/2023,,90,Sofia Alaoui, Ad Vitam ,"Oumaïma Barid,Mehdi Dehbi,Fouad Oughaou",,"France,Maroc,Qatar",Arabe,Long-métrage,2023,-,,,,,,"Itto, jeune marocaine d’origine modeste, s’est adaptée à l’opulence de la famille de son mari, chez qui elle vit. Alors qu’elle se réjouissait d’une journée de tranquillité sans sa belle-famille, des événements surnaturels plongent le pays dans l’état d’urgence. Des phénomènes de plus en plus inquiétants suggèrent qu’une présence mystérieuse approche. Seule, elle peine à trouver de l'aide…"
Bad Boys 4,12/06/2024,,,Adil El Arbi, Sony Pictures Releasing France ,"Martin Lawrence,Will Smith,Vanessa Hudgens",,,Anglais,Long-métrage,2024,-,,,,,,Le quatrième volet des aventures de Mike Lowrey et Marcus Burnett.
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
La Voie Royale,09/08/2023,,107,Frédéric Mermoud, Pyramide Distribution ,"Suzanne Jouannet,Marie Colomb,Maud Wyler",,"France,Suisse",Français,Long-métrage,2023,-,,,,10 Photos,,"Sophie est une lycéenne brillante. Encouragée par son professeur de mathématiques, elle quitte la ferme familiale pour suivre une classe préparatoire scientifique. Au fil de rencontres, de succès et d’échecs, face à une compétition acharnée, Sophie réalise que son rêve, intégrer Polytechnique, représente plus qu’un concours... un vrai défi d’ascension sociale."
Les Blagues de Toto 2 - classe verte,02/08/2023,,84,Pascal Bourdiaux, SND ,"Hugo Trophardy,Guillaume De Tonquédec,Anne Marivin",,"France,Belgique",Français,Long-métrage,2023,-,,,,,,"Toto et ses camarades sont de retour, direction la campagne pour une classe verte ! Mais, si pour les autres élèves, celle-ci est l’occasion de découvrir la vie à la ferme, pour Toto, c’est surtout l’opportunité parfaite pour inventer de nouvelles blagues et vivre de folles aventures. D’autant que les fermiers qui les accueillent ont l’air un peu louches, et qu’on raconte qu’un fantôme rode dans le coin… Toto compte bien mener l’enquête, et il a plus d’un tour dans son sac !"
Magic !,02/08/2023,"Animation,Fantastique",85,Caroline Origer, KMBO ,"Jella Haase,Lisa-Marie Koroll,Stephan Benson",My Fairy Troublemaker,"Luxembourg,Allemagne",Allemand,Long-métrage,2022,-,,,,,,"Il existe un monde magique où vivent de drôles de fées qui, la nuit venue, s’invitent déposer des cadeaux chez les humains. L’une d’elles, Violetta, un peu tête en l’air, se retrouve coincée sur Terre. Heureusement, elle rencontre Maxie, 10 ans : celle-ci fera tout pour aider Violetta à retourner chez elle. Le compte à rebours est lancé avant que la porte magique entre les deux mondes ne disparaisse !"
L'Exorciste - Dévotion,11/10/2023,,,David Gordon Green, Universal Pictures International France ,"Leslie Odom Jr.,Olivia Marcum,Lidya Jewett",The Exorcist: Believer,,Anglais,Long-métrage,2023,-,,,,,,"Victor Fielding a perdu sa femme encore enceinte lors d’un tremblement de terre en Haiti 12 ans plus tôt. Depuis, il élève seul leur fille Angela qui a vu le jour malgré cette terrible catastrophe. Mais quand Angela et son amie Katherine, disparaissent dans les bois, pour n’en revenir que trois jours plus tard totalement amnésiques, une série d’évènements plus atroces les uns que les autres va confronter Victor à la quintessence du mal. Totalement désemparé il va essayer de retrouver la seule personne encore en vie qui ait assisté à ce genre d’atrocités : Chris MacNeil."
,,,,,,,,,,,,,,,,,,
Gran Turismo,09/08/2023,Drame,134,Neill Blomkamp, Sony Pictures Releasing France ,"David Harbour,Orlando Bloom,Archie Madekwe",Gran Turismo: Based On a True Story,,Anglais,Long-métrage,2023,-,,,,27 Photos,,"Gran Turismo retrace l'incroyable histoire vraie d'une équipe d'outsiders : un gamer issu de la classe ouvrière, un ex-pilote de course raté et un cadre idéaliste de l’industrie du sport automobile. Ensemble, ils risquent tout et s'attaquent au sport le plus élitiste au monde."
Retribution,23/08/2023,,90,Nimród Antal, StudioCanal ,"Liam Neeson,Noma Dumezweni,Jack Champion",,,Anglais,Long-métrage,2023,-,,,,31 Photos,,
La Beauté du geste,30/08/2023,,99,Sho Miyake, Art House ,"Yukino Kishii,Tomokazu Miura,Masaki Miura","Keiko, me wo sumasete","Japon,France",Japonais,Long-métrage,2022,-,,,,,,"Keiko vit dans les faubourgs de Tokyo où elle s’entraîne avec acharnement à la boxe. Sourde, c’est avec son corps qu’elle s’exprime. Mais au moment où sa carrière prend son envol, elle décide de tout arrêter…"
Les Tournesols sauvages,02/08/2023,,106,Jaime Rosales, Condor Distribution ,"Anna Castillo,Oriol Pla,Quim Ávila",Girasoles silvestres,"Espagne,France",Espagnol,Long-métrage,2022,-,,,,12 Photos,,"À Barcelone, Julia, 22 ans, élevant seule ses deux enfants, rêve de liberté et d'émancipation. Comme un tournesol suivant sans relâche la lumière, elle part chercher le soleil sous d'autres horizons. Lorsque le hasard remet sur son chemin deux hommes qu'elle a connu par le passé, la voilà confrontée à des émotions contraires."
Tropic,02/08/2023,,110,Edouard Salier, Rezo Films ,"Pablo Cobo,Louis Peres,Marta Nieto",,,Français,Long-métrage,2023,-,,,,,,"Lázaro et Tristán, jumeaux, font partie d’un programme militaire qui vise à former les meilleurs astronautes de demain. Leur mère a tout sacrifié pour les porter vers cet objectif. Mais leur rêve se brise et la cellule familiale explose lorsque Tristán est contaminé par un résidu toxique qui le transforme physiquement et mentalement…"
On dirait la planète Mars,02/08/2023,,104,Stéphane Lafleur, UFO Distribution ,"Steve Laplante,Larissa Corriveau,Fabiola N. Aladin",,,"Français, Anglais",Long-métrage,2022,-,,,,10 Photos,,"La première mission habitée sur Mars est en péril. Pas de panique : une branche canadienne de l’agence spatiale envoie dans une base en plein désert cinq anonymes sélectionnés pour leurs profils psychologiques quasi identiques à ceux des astronautes. Ils doivent vivre comme eux, penser comme eux, être comme eux, pour anticiper et résoudre les conflits. Mais ici ce n’est pas tout à fait la planète Mars. Et ce ne sont pas vraiment des astronautes."
Le Colibri,02/08/2023,,126,Francesca Archibugi, Paname Distribution ,"Pierfrancesco Favino,Kasia Smutniak,Bérénice Bejo",Il colibrì,"Italie,France",Italien,Long-métrage,2022,-,,,,11 Photos,,
En eaux très troubles,02/08/2023,Action,116,Ben Wheatley, Warner Bros. France ,"Jason Statham,Jing Wu,Cliff Curtis",Meg 2: The Trench,"U.S.A.,Chine",Anglais,Long-métrage,2023,-,,,,19 Photos,,"Cet été, préparez-vous à une décharge d’adrénaline avec EN EAUX TRÈS TROUBLES ! Film d’action survolté, ce deuxième opus plus gigantesque encore que le blockbuster de 2018 plonge le spectateur dans des eaux toujours plus profondes, où grouillent de redoutables megalodons, et bien plus…"
Veuillez nous excuser pour la gêne occasionnée,09/08/2023,,,Olivier Van Hoofstadt, UGC Distribution / TF1 Studio ," Artus,Elsa Zylberstein,Benjamin Tranié",,"France,Belgique",Français,Long-métrage,2023,-,,,,10 Photos,,"Sébastien, contrôleur de train consciencieux et professionnel, rêve d’être muté dans le sud de la France."
Anatomie d’une chute,23/08/2023,"Drame,Thriller,Judiciaire",150,Justine Triet, Le Pacte ,"Sandra Hüller,Swann Arlaud,Milo Machado Graner",,,"Français, Anglais",Long-métrage,2023,"6,2 M€",,,,14 Photos,2 prix et 4 nominations,
Avatar 4,19/12/2029,,,James Cameron, The Walt Disney Company France ,"Sam Worthington,Zoe Saldana,Sigourney Weaver",,,Anglais,Long-métrage,2029,-,,,,,,"Le quatrième volet de la saga ""Avatar""."
,,,,,,,,,,,,,,,,,,
Un silence,10/01/2024,,,Joachim Lafosse, Les Films du Losange ,"Daniel Auteuil,Emmanuelle Devos,Matthieu Galoux",,"Belgique,Luxembourg,France",Français,Long-métrage,2023,-,,,,,,"Silencieuse depuis 25 ans, Astrid la femme d’un célèbre avocat voit son équilibre familial s’effondrer lorsque ses enfants se mettent en quête de justice."
L'Empire,13/03/2024,,,Bruno Dumont, ARP Sélection ,"Camille Cottin,Lyna Khoudri,Anamaria Vartolomei",,"France,Allemagne,Italie,Belgique",Français,Long-métrage,2023,-,,,,,,"Entre Ma Loute et La Vie de Jésus, entre le ciel et la terre, Bruno Dumont nous offre sa vision caustique, cruelle et déjantée de La Guerre des étoiles."
Yannick,02/08/2023,,67,Quentin Dupieux, Diaphana Distribution ,"Raphaël Quenard,Blanche Gardin,Pio Marmaï",,,Français,Long-métrage,2023,-,,,,,,"En pleine représentation de la pièce « Le Cocu », un très mauvais boulevard, Yannick se lève et interrompt le spectacle pour reprendre la soirée en main..."
Le Champ des Possibles,06/09/2023,"Thriller,Romance",120,Aly Muritiba, Optimale Distribution ,"Antonio Saboia,Pedro Fasanaro,Thomas Aquino",Deserto Particular,"Brésil,Portugal",Portugais,Long-métrage,2021,-,,,,17 Photos,,"Daniel, 40 ans, a été suspendu de ses fonctions d’agent de police suite à une bavure. Il se focalise alors sur une relation virtuelle avec une personne mystérieuse qu’il n’a encore jamais rencontrée. Lorsqu’elle cesse de répondre à ses SMS, il décide de parcourir des milliers de kilomètres pour la retrouver…"
Captives,07/02/2024,Drame,,Arnaud des Pallières, Wild Bunch Distribution ,"Mélanie Thierry,Josiane Balasko,Marina Foïs",,,Français,Long-métrage,2023,-,,,,,,"Paris, 1894. Qui est Fanni qui prétend s’être laissée enfermer volontairement à l’Hôpital de la Salpêtrière ? Cherchant sa mère parmi la multitude des femmes convaincues de « folie », Fanni découvre une réalité de l’asile toute autre que ce qu’elle imaginait, ainsi que l’amitié inattendue de compagnes d’infortune. Le dernier grand bal de la Salpêtrière se prépare. Politiques, artistes, mondains s’y presseront. Dernier espoir d’échapper au piège qui se referme…"
Chasse gardée,20/12/2023,,,Frédéric Forestier, UGC Distribution ,"Didier Bourdon,Thierry Lhermitte,Hakim Jemili",,,Français,Long-métrage,2023,-,,,,,,"A l’étroit dans leurs deux pièces dans Paris, Simon Adélaïde et leurs deux enfants décident de quitter la ville pour une vie plus calme et confortable à la campagne. Ils se laissent immédiatement séduire par une maison en pleine nature : de l’espace, un potager, un bois attenant à leur jardin et surtout des voisins qui les accueillent les bras ouverts. Le rêve ! Mais le jeune couple va vite déchanter : leur bois est en réalité un terrain de chasse! Bien que bon vivants et sympathiques, les chasseurs ne sont pas décidés à abandonner leur territoire, faisant du rêve champêtre de Simon et Adélaïde un enfer. Mais, fidèles à leur réputation, nos Parisiens ne vont pas se laisser faire…"
Loup y es-tu ?,13/09/2023,,85,Clara Bouffartigue, Véo distribution ,,,,Français,Long-métrage,2022,-,,,,,,"Des jeunes, des enfants et leurs parents viennent consulter, souffrance en bandoulière, sous le manteau ou sous la peau, c'est selon. Au centre médico-psycho-pédagogique, les soignants sont là pour les accompagner en thérapie. Par le jeu, le dialogue, le silence, en famille, en groupe ou individuellement, ils cheminent pour les aider à grandir. La nuit, dans les couloirs et la salle d’attente, entre rêve et cauchemar, un drôle de petit bonhomme s’anime et libère ses émotions. Il était une fois, derrière le symptôme, tapis dans l'ombre, des enfants, des adolescents et des parents qui avaient peur du loup... Loup y es-tu ?"
Une équipe de rêve,20/12/2023,Comédie,,Taika Waititi, The Walt Disney Company France ,"Elisabeth Moss,Michael Fassbender,Oscar Kightley",Next Goal Wins,,Anglais,Long-métrage,2023,-,,,,,,
Anselm (Le Bruit du temps),18/10/2023,,93,Wim Wenders, Les Films du Losange ,,Anselm,,"Allemand, Anglais",Long-métrage,2023,-,,,,,,
Francesca et l'amour,02/08/2023,,,Alba Sotorra, Urban Distribution ,,Francesca y el amor,"Espagne,France",Espagnol,Long-métrage,2021,-,,,,,,"À 60 ans, Francesca, se retrouve sans enfant chez elle et décide de trouver un compagnon. Mais où le trouver ? Encouragée par ses amis, elle s’inscrit sur un site de rencontre. Aventures sexuelles, situations uniques, sentiment de vide… À travers ce voyage intérieur, Francesca apprendra surtout à renouer avec elle-même."
Un automne à Great Yarmouth,06/09/2023,,113,Marco Martins, Damned Distribution ,"Nuno Lopes,Beatriz Batarda,Kris Hitchen",Great Yarmouth: Provisional Figures,,"Portugais, Anglais",Long-métrage,2022,-,,,,,,"Octobre 2019, en Grande-Bretagne, trois mois avant le Brexit. Tânia organise le travail, transport et logement des travailleurs immigrés portugais de l’usine de volailles de Great Yarmouth, dans le Norfolk. Flottant dans un monde où les bâtiments sont délabrés et les conditions de travail des ouvriers à l’abattoir particulièrement dures, Tânia apprend l’anglais en rêvant d’ouvrir un jour un hôtel pour y accueillir les touristes du troisième âge."
Poisson rouge,27/09/2023,,100,Hugo Bachelet, Destiny Films ,"Guillaume Darnault,Julie Gallibert,Andy Pimor",,,Français,Long-métrage,2022,-,,,,,,"Guillaume, 33 ans, perd la mémoire de façon irréversible et va rentrer dans un centre spécialisé. Dans l'espoir de lui laisser un souvenir heureux, ses potes d'enfance lui organisent un dernier week-end festif. Ils se lancent dans un road trip qui permettra peut-être à Guillaume de régler ses problèmes avant qu'il ne les oublie…"
Entre les lignes,04/10/2023,"Historique,Romance",104,Eva Husson, Condor Distribution ,"Odessa Young,Josh O'Connor,Colin Firth",Mothering Sunday,,Anglais,Long-métrage,2021,-,,,,21 Photos,,"Angleterre, 1924. Femme de chambre chez un couple d'aristocrates, Jane fréquente secrètement Paul, le fils des propriétaires du manoir voisin. Instinctivement, Jane sait que leur différence de milieu, et le futur mariage de Paul avec une autre, vouent leur liaison passionnée à l'échec. Elle se raccroche alors à ces étreintes dérobées comme à autant de futurs souvenirs destinés à nourrir sa plume d'écrivaine en devenir."
Zom 100 : La liste de la mort,,"Science fiction,Comédie",128,Yûsuke Ishida,,"Eiji Akaso,Mai Shiraishi,Shuntaro Yanagi",Zom 100: Bucket List Of The Dead,,Japonais,Long-métrage,2023,-,,,,,,"Brutalisé par son patron, exploité 24 heures sur 24, il est devenu esclave de son entreprise. Mais quand une invasion de zombies se produit, il retrouve goût à la vie !"
N°10,30/08/2023,"Science fiction,Comédie",100,Alex Van Warmerdam, Ed Distribution ,"Anniek Pheifer,Gene Bervoets,Pierre Bokma",Nr. 10,"Pays-Bas,Belgique,Allemagne",Néerlandais,Long-métrage,2021,-,,,,,,"Günter, trouvé dans les bois en Allemagne à l’âge de quatre ans, a grandi dans une famille d’accueil. Une quarantaine d'années plus tard, il mène une vie normale : il gagne sa vie comme acteur de théâtre, passe du temps avec sa fille Lizzy, a une liaison avec une femme mariée. Lorsqu’un homme sur un pont lui chuchote un mot étrange à l’oreille, il commence à s’interroger sur ses origines."
L'Arbre aux papillons d'or,20/09/2023,,178,Pham Thien An, Nour Films ,,Bên trong vỏ kén vàng,,Vietnamien,Long-métrage,2023,-,,,,,1 prix et 2 nominations,
Comme par magie,22/11/2023,,,Christophe Barratier, Apollo Films / Orange Studio ,"Gérard Jugnot,Kev Adams,Claire Chust",,,Français,Long-métrage,2023,"6,2 M€",,,,,,"Victor, jeune magicien en pleine ascension, élève seul sa fille Lison. C’est sans compter Jacques, son fantasque beau-père, qui se mêle contre son avis de l’éducation de la petite. Un tandem improbable qui aura pour arbitre Nina, l’amie d’enfance de Victor, au caractère bien trempé."
Le Rêve de Daisy,30/08/2023,"Famille,Aventure",88,Ricard Cussó, Alba Films ,"Angourie Rice,Sam Neill,Lucy Durack",Daisy Quokka: World's Scariest Animal,,Anglais,Long-métrage,2021,-,,,,,,"Dans ce nouveau conte de la Cité Sanctuaire, où tous les animaux vivent en harmonie, la Cité s’apprête à accueillir « La Coupe du Monde de la Peur » durant laquelle les animaux les plus féroces vont s’affronter dans l’arène. Daisy, une petite quokka incroyablement attachante veut réaliser son rêve le plus cher : gagner ces jeux ! Avec l’aide d’un ancien champion du monde banni de la Cité, elle tentera tout pour surmonter les obstacles et prouver que même l’animal le plus mignon de la Cité peut se révéler effrayant…"
L'Enlèvement,01/11/2023,,135,Marco Bellocchio, Ad Vitam ,"Paolo Pierobon,Enea Sala,Leonardo Maltese",Rapito,"Italie,France,Allemagne",Italien,Long-métrage,2023,-,,,,,5 nominations,
The Old Oak,25/10/2023,,113,Ken Loach, Le Pacte ,"Dave Turner,Ebla Mari,Trevor Fox",,"France,Grande-Bretagne",Anglais,Long-métrage,2023,-,,,,,5 nominations,
Menus plaisirs,20/12/2023,,238,Frederick Wiseman, Météore Films ,,,"France,U.S.A.",Français,Long-métrage,2023,-,,,,,,"Le documentariste américain met en scène la maison Troisgros, un restaurant trois étoiles au Guide Michelin, situé à Ouches, à environ une centaine de kilomètres de Lyon."
La Fiancée du poète,11/10/2023,,103,Yolande Moreau, Le Pacte ,"Yolande Moreau,Sergi López,Grégory Gadebois",,"France,Belgique",Français,Long-métrage,2023,-,,,,,,"Amoureuse de peinture et de poésie, Mireille s'accommode de son travail de serveuse à la cafétéria des Beaux-Arts de Charleville tout en vivant de petits larcins et de trafic de cartouches de cigarettes. N'ayant pas les moyens d'entretenir la grande maison familiale des bords de Meuse dont elle hérite, Mireille décide de prendre trois locataires. Trois hommes qui vont bouleverser sa routine et la préparer, sans le savoir, au retour du quatrième : son grand amour de jeunesse, le poète."
Madame Web,14/02/2024,,,S.J. Clarkson, Sony Pictures Releasing France ,"Dakota Johnson,Sydney Sweeney,Celeste O’Connor",,,Anglais,Long-métrage,2024,-,,,,,,"Spin-off de l'univers de Spider-Man centré sur Cassandra Webb alias Madame Web, mentor de l'homme araigné. Il s'agit d'une vieille femme aveugle et paralysée mais dotée de capacités extraordinaires comme la télépathie ou encore la clairvoyance."
The Machine,,"Comédie,Action",112,Peter Atencio,,"Bert Kreischer,Mark Hamill,Jimmy Tatro",,,Anglais,Long-métrage,2023,-,,,,,,"Inspiré des aventures réelles de Bert Kreischer et de son numéro de stand-up ""The Machine"", qui a été vu plus de 85 millions de fois. Le passé d'ivrogne de Bert le rattrape 20 ans plus tard, lorsque son père et lui sont kidnappés par ceux que Bert a trompés il y a 20 ans, alors qu'il était ivre pendant un semestre universitaire en Russie."
Vincent doit mourir,15/11/2023,"Fantastique,Comédie,Drame",115,Stephan Castang, Capricci Films ,"Karim Leklou,Vimala Pons,François Chattot",,"France,Belgique",Français,Long-métrage,2023,-,,,,,1 prix et 2 nominations,
Quand les vagues se retirent,16/08/2023,Thriller,187,Lav Diaz, Epicentre Films ,"John Lloyd Cruz,Ronnie Lazaro,Don Melvin Boongaling",Kapag Wala Nang mga Alon,"Philippines,France,Danemark,Portugal",Filipino,Long-métrage,2022,-,,,,,2 nominations,"Le lieutenant Hermes Papauran, l’un des meilleurs enquêteurs des Philippines, se trouve dans un profond dilemme moral. En tant que membre des forces de l’ordre, il est le témoin privilégié de la campagne meurtrière anti-drogue que son institution mène avec dévouement. Les atrocités corrodent Hermes physiquement et spirituellement, lui causant une grave maladie de peau qui résulte de l’anxiété et de la culpabilité. Pour guérir, il devra affronter ses propres démons."
Le Théorème de Marguerite,01/11/2023,,112,Anna Novion, Pyramide Distribution ,"Ella Rumpf,Jean-Pierre Darroussin,Clotilde Courau",,"France,Suisse",Français,Long-métrage,2023,-,,,,,2 prix et 4 nominations,
Bro,02/08/2023,Fantastique,132, Samuthirakani, Friday Entertainment ,"Pawan Kalyan,Sai Dharam Tej,Brahmanandam Kanneganti",,,Autre,Long-métrage,2023,-,,,,,,"Markandeyulu ""Mark"" est un informaticien à Hyderabad, avec le désir d'avoir une petite amie. C'est un individu dominant qui fait passer ses propres intérêts avant les autres, y compris ceux de sa propre famille, comprenant sa mère Easwari, ses sœurs Veena et Gayathri."
Vera,23/08/2023,,115,Tizza Covi, Les Films de l'Atalante ,"Vera Gemma,Daniel De Palma,Sebastian Dascalu",,,Allemand,Long-métrage,2022,-,,,,,1 prix et 2 nominations,"Vera, actrice blond platine au chapeau de cowboy vissé sur la tête, mène difficilement sa carrière, dans l’ombre de son père, Giuliano Gemma, icône du cinéma italien des années 60. Elle vit au jour le jour dans le petit monde du showbiz, lassée de ses relations superficielles. A la suite d’un accident de la route dans un quartier populaire de Rome, Vera rencontre un jeune garçon de huit ans et son père. Elle tisse une relation intense avec eux, découvre alors la vraie vie, et peut-être même une nouvelle famille."
Perfect Days,29/11/2023,Comédie,123,Wim Wenders, Haut et Court ,"Koji Yakusho,Min Tanaka,Arisa Nakano",,"Allemagne,Japon",Japonais,Long-métrage,2023,-,,,,,1 prix et 5 nominations,
Furiosa,22/05/2024,,,George Miller, Warner Bros. France ,"Anya Taylor-Joy,Chris Hemsworth,Tom Burke",,"Australie,U.S.A.",Anglais,Long-métrage,2024,-,,,,,,"Alors que le monde s'écroule, la jeune Furiosa tombe entre les mains d'une horde de motards dirigée par le seigneur de la guerre Dementus. En traversant le Wasteland, ils tombent sur la Citadelle présidée par l'Immortan Joe. Alors que les deux tyrans se battent pour la domination, Furiosa doit survivre à de nombreuses épreuves pour trouver le moyen de rentrer chez elle."
Le Royaume de Kensuke,07/02/2024,Aventure,84,Neil Boyle, Le Pacte ,"Cillian Murphy,Sally Hawkins,Raffey Cassidy",Kensuke's Kingdom,"Grande-Bretagne,Luxembourg,France",Anglais,Long-métrage,2023,-,,,,,,"Un jeune garçon naufragé sur une île isolée découvre qu'il n'est pas seul quand il rencontre un vieux soldat japonais hostile qui s'est retiré là après la Seconde Guerre mondiale. Alors que de dangereux envahisseurs apparaissent à l'horizon, il devient très clair qu'ils devront unir leurs forces pour sauver leur fragile paradis insulaire."
The Batman: Part II,01/10/2025,Drame,,Matt Reeves, Warner Bros. France ,Robert Pattinson,,,Anglais,Long-métrage,2025,-,,,,,,Suite de The Batman de Matt Reeves avec Robert Pattinson dans la peau de l'homme-chauve-souris.
The Fall Guy,28/02/2024,Comédie,,David Leitch, Universal Pictures International France ,"Ryan Gosling,Emily Blunt,Aaron Taylor-Johnson",,,Anglais,Long-métrage,2024,-,,,,,,
Le Château Solitaire dans le Miroir,06/09/2023,"Drame,Fantastique",116,Keiichi Hara, Eurozoom ,"Shingo Fujimori,Rihito Itagaki,Yûki Kaji",Kagami no Kojou,,Japonais,Long-métrage,2022,-,,,,,,"Un beau jour, le miroir dans la chambre de Kokoro se met à scintiller. À peine la jeune fille l’a-t-elle effleuré qu’elle se retrouve dans un formidable château digne d’un conte de fées. Là, une mystérieuse fillette affublée d’un masque de loup lui soumet un défi. Elle a un an pour l’accomplir et ainsi réaliser un souhait. Seulement Kokoro n’est pas seule : six autres adolescents ont le même objectif qu’elle."
àma Gloria,30/08/2023,,84,Marie Amachoukeli, Pyramide Distribution ,"Louise Mauroy-Panzani,Ilça Moreno,Arnaud Rebotini",,"Belgique,France","Français, Portugais",Long-métrage,2023,-,,,,,,
Mufasa: The Lion King,03/07/2024,"Aventure,Famille",,Barry Jenkins, The Walt Disney Company France ,"Aaron Pierre,Kelvin Harrison Jr.,Seth Rogen",,,Anglais,Long-métrage,2023,-,,,,,,"Mufasa: The Lion King se présentera sous forme de flashbacks. Rafiki, Timon et Pumbaa raconteront à un jeune lionceau l’histoire et l’ascension d’un des plus grands rois que la Terre des Lions n’ait jamais portés."
L'Abbé Pierre - Une vie de combats,08/11/2023,Drame,138,Frédéric Tellier, SND ,"Benjamin Lavernhe,Emmanuelle Bercot,Michel Vuillermoz",,,Français,Long-métrage,2023,"15,7 M€",,,,,2 nominations,
Leurs Enfants après eux,18/09/2024,,,Ludovic Boukherma, Warner Bros. France ,"Gilles Lellouche,Paul Kircher,Anaïs Demoustier",,,Français,Long-métrage,2024,-,,,,,,"Août 1992. Une vallée perdue quelque part dans l’Est, des hauts-fourneaux qui ne brûlent plus, un lac, un après-midi de canicule. Anthony a quatorze ans, et avec son cousin, pour tuer l’ennui, il décide de voler un canoë et d’aller voir ce qui se passe de l’autre côté, sur la fameuse plage des culs-nus. Au bout, ce sera pour Anthony le premier amour, le premier été, celui qui décide de toute la suite. Ce sera le drame de la vie qui commence."
Les Segpa font du ski,27/12/2023,,,Ali Boughéraba, Apollo Films ,"Ichem Bougheraba,Walid Ben Amar,Arriles Amrani",,,Français,Long-métrage,2023,-,,,,,,
Inside,06/09/2023,,99,Bishal Dutta, KMBO ,"Megan Suri,Neeru Bajwa,Mohana Krishnan",It Lives Inside,,"Anglais, Hindi",Long-métrage,2023,-,,,,,,"Sam, une adolescente sans histoire, assiste à un phénomène surnaturel terrifiant dans son école. Sa meilleure amie en est la première victime. Elle sera la suivante, si ce qui est enfermé parvient à s’échapper…"
Vice Versa 2,12/06/2024,,,Kelsey Mann, The Walt Disney Company France ,"Amy Poehler,Diane Lane,Phyllis Smith",Inside Out 2,,Anglais,Long-métrage,2024,-,,,,,,"Désormais adolescente, Riley ressent toutes sortes de nouvelles émotions..."
Spoiler Alert,,Comédie,112,Michael Showalter,,"Jim Parsons,Ben Aldridge,Sally Field",,,Anglais,Long-métrage,2022,-,,,,11 Photos,,"Adaptation des mémoires du journaliste Michael Ausiello, récit des onze mois passés entre le moment où son compagnon s'est vu diagnostiquer un cancer en phase terminale, et le décès de ce dernier."
Drive-Away Dolls,04/10/2023,Thriller,,Ethan Coen, Universal Pictures International France ,"Margaret Qualley,Geraldine Viswanathan,Pedro Pascal",,,Anglais,Long-métrage,2023,-,,,,,,"Jamie et son amie Marian, sont à la recherche d'un nouveau départ, elles se lancent dans un road trip mais les choses tournent mal lorsqu'elles croisent en chemin un groupe de criminels bras cassés."
Gladiator 2,20/11/2024,Action,,Ridley Scott, Paramount Pictures France ,"Paul Mescal,May Calamawy,Denzel Washington",,"U.S.A.,Grande-Bretagne",Anglais,Long-métrage,2024,-,,,,,,"L'histoire de Lucius, le fils de Lucilla (Connie Nielsen dans Gladiator) et neveu de Commode (Joaquin Phoenix). Lucius est très admiratif du parcours de Maximus et devrait suivre ses traces."
Sacerdoce,18/10/2023,,84,Damien Boyer, Saje Distribution ,,,,Français,Long-métrage,2023,-,,,,,,"Depuis des siècles, les prêtres accompagnent de nombreuses personnes dans leur vie, dans les moments de joie comme d’épreuve. Alors que le scandale des abus a entaché l’Église ces dernières années, les prêtres demeurent un mystère. Plus qu’un simple métier, leur fonction exige un style de vie si radical, celui du célibat, de l’abandon de la paternité et d’un style de vie sobre. Antoine, prêtre vagabond, ancien rider, sillonne l’Ariège avec sa caravane pour écouter les villageois. Gaspard, prêtre montagnard, pousse les jeunes à se dépasser, à contempler la création, et à se débarrasser de leurs addictions. François, prêtre parisien expérimenté, apporte son regard empreint de sagesse sur la nature profonde du sacerdoce. Paul souhaite remporter le championnat de France du clergé à vélo. Le Père Matthieu emmène Jésus en procession dans les quartiers chauds des Philippines. A travers leurs vies données au monde s’esquissent les enjeux de leur engagement et de la prêtrise au XXIe siècle."
The Killer,,Policier,,David Fincher,"
1 nomination
","Michael Fassbender,Tilda Swinton,Charles Parnell",,,Anglais,Long-métrage,2023,-,,,,,,
My dear f***ing prince,,,,Matthew Lopez,,"Taylor Zakhar Perez,Uma Thurman,Nicholas Galitzine","Red, White & Royal Blue",,Anglais,Long-métrage,2023,-,,,,,,"Le fils de la présidente américaine, Alex Claremont-Diaz, est un beau parti. Cependant, il a une altercation avec son homologue royal britannique, le prince Henry, prise en photo par des paparazzis. Cette querelle remet en cause les relations diplomatiques anglo-américaines. Les deux familles organisent alors un rapprochement amical entre les deux jeunes hommes."
Les Trois Mousquetaires: Milady,13/12/2023,,,Martin Bourboulon, Pathé ,"François Civil,Romain Duris,Vincent Cassel",,,Français,Long-métrage,2023,60 M€,,,,,,"Du Louvre au Palais de Buckingham, des bas-fonds de Paris au siège de La Rochelle… dans un Royaume divisé par les guerres de religion et menacé d’invasion par l’Angleterre, une poignée d’hommes et de femmes vont croiser leurs épées et lier leur destin à celui de la France."
